modulo,columna,dtype,nunique,pct_nulos_antes,pct_nulos_despues,pct_centinela,n_centinela_muestra
modulo03_educacion,P311N$5,str,2,0.0,0.0,0.0,0
modulo03_educacion,P311N$6,str,2,0.0,0.0,0.0,0
modulo03_educacion,P311N$7,str,2,0.0,0.0,0.0,0
modulo03_educacion,P311N$8,str,2,0.0,0.0,0.0,0
modulo03_educacion,P311N$9,str,2,0.0,0.0,0.0,0
modulo03_educacion,P311$1,str,3,0.0,0.0,0.0,0
modulo03_educacion,P311$2,str,3,0.0,0.0,0.0,0
modulo03_educacion,P311$3,str,3,0.0,0.0,0.0,0
modulo03_educacion,P311$4,str,3,0.0,0.0,0.0,0
modulo03_educacion,P311$5,str,3,0.0,0.0,0.0,0
modulo03_educacion,P311$6,str,3,0.0,0.0,0.0,0
modulo03_educacion,P311$7,str,3,0.0,0.0,0.0,0
modulo03_educacion,P311$8,str,3,0.0,0.0,0.0,0
modulo03_educacion,P311$9,str,3,0.0,0.0,0.0,0
modulo03_educacion,P311A1$1,str,3,0.0,0.0,0.0,0
modulo03_educacion,P311A1$2,str,3,0.0,0.0,0.0,0
modulo03_educacion,P311A1$3,str,2,0.0,0.0,0.0,0
modulo03_educacion,P311A1$4,str,3,0.0,0.0,0.0,0
modulo03_educacion,P311A1$5,str,3,0.0,0.0,0.0,0
modulo03_educacion,P311A1$6,str,3,0.0,0.0,0.0,0
modulo03_educacion,P311A1$7,str,3,0.0,0.0,0.0,0
modulo03_educacion,P311A1$8,str,1,0.0,0.0,0.0,0
modulo03_educacion,P311A1$9,str,1,0.0,0.0,0.0,0
modulo03_educacion,P311A2$1,str,2,0.0,0.0,0.0,0
modulo03_educacion,P311A2$2,str,2,0.0,0.0,0.0,0
modulo03_educacion,P311A2$3,str,2,0.0,0.0,0.0,0
modulo03_educacion,P311A2$4,str,2,0.0,0.0,0.0,0
modulo03_educacion,P311A2$5,str,2,0.0,0.0,0.0,0
modulo03_educacion,P311A2$6,str,2,0.0,0.0,0.0,0
modulo03_educacion,P311A2$7,str,3,0.0,0.0,0.0,0
modulo03_educacion,P311A2$8,str,1,0.0,0.0,0.0,0
modulo03_educacion,P311A2$9,str,1,0.0,0.0,0.0,0
modulo03_educacion,P311A3$1,str,2,0.0,0.0,0.0,0
modulo03_educacion,P311A3$2,str,2,0.0,0.0,0.0,0
modulo03_educacion,P311A3$3,str,2,0.0,0.0,0.0,0
modulo03_educacion,P311A3$4,str,2,0.0,0.0,0.0,0
modulo03_educacion,P311A3$5,str,2,0.0,0.0,0.0,0
modulo03_educacion,P311A3$6,str,2,0.0,0.0,0.0,0
modulo03_educacion,P311A3$7,str,3,0.0,0.0,0.0,0
modulo03_educacion,P311A3$8,str,1,0.0,0.0,0.0,0
modulo03_educacion,P311A3$9,str,1,0.0,0.0,0.0,0
modulo03_educacion,P311A4$1,str,2,0.0,0.0,0.0,0
modulo03_educacion,P311A4$2,str,2,0.0,0.0,0.0,0
modulo03_educacion,P311A4$3,str,2,0.0,0.0,0.0,0
modulo03_educacion,P311A4$4,str,2,0.0,0.0,0.0,0
modulo03_educacion,P311A4$5,str,2,0.0,0.0,0.0,0
modulo03_educacion,P311A4$6,str,2,0.0,0.0,0.0,0
modulo03_educacion,P311A4$7,str,3,0.0,0.0,0.0,0
modulo03_educacion,P311A4$8,str,1,0.0,0.0,0.0,0
modulo03_educacion,P311A4$9,str,1,0.0,0.0,0.0,0
modulo03_educacion,P311A5$1,str,3,0.0,0.0,0.0,0
modulo03_educacion,P311A5$2,str,3,0.0,0.0,0.0,0
modulo03_educacion,P311A5$3,str,3,0.0,0.0,0.0,0
modulo03_educacion,P311A5$4,str,3,0.0,0.0,0.0,0
modulo03_educacion,P311A5$5,str,3,0.0,0.0,0.0,0
modulo03_educacion,P311A5$6,str,3,0.0,0.0,0.0,0
modulo03_educacion,P311A5$7,str,3,0.0,0.0,0.0,0
modulo03_educacion,P311A5$8,str,1,0.0,0.0,0.0,0
modulo03_educacion,P311A5$9,str,1,0.0,0.0,0.0,0
modulo03_educacion,P311A6$1,str,3,0.0,0.0,0.0,0
modulo03_educacion,P311A6$2,str,3,0.0,0.0,0.0,0
modulo03_educacion,P311A6$3,str,2,0.0,0.0,0.0,0
modulo03_educacion,P311A6$4,str,3,0.0,0.0,0.0,0
modulo03_educacion,P311A6$5,str,3,0.0,0.0,0.0,0
modulo03_educacion,P311A6$6,str,2,0.0,0.0,0.0,0
modulo03_educacion,P311A6$7,str,3,0.0,0.0,0.0,0
modulo03_educacion,P311A6$8,str,2,0.0,0.0,0.0,0
modulo03_educacion,P311A6$9,str,2,0.0,0.0,0.0,0
modulo03_educacion,P311A7$1,str,2,0.0,0.0,0.0,0
modulo03_educacion,P311A7$2,str,2,0.0,0.0,0.0,0
modulo03_educacion,P311A7$3,str,2,0.0,0.0,0.0,0
modulo03_educacion,P311A7$4,str,3,0.0,0.0,0.0,0
modulo03_educacion,P311A7$5,str,2,0.0,0.0,0.0,0
modulo03_educacion,P311A7$6,str,2,0.0,0.0,0.0,0
modulo03_educacion,P311A7$7,str,3,0.0,0.0,0.0,0
modulo03_educacion,P311A7$8,str,1,0.0,0.0,0.0,0
modulo03_educacion,P311A7$9,str,1,0.0,0.0,0.0,0
modulo03_educacion,P311B$1,str,288,0.0,0.0,0.0,0
modulo03_educacion,P311B$2,str,212,0.0,0.0,0.0,0
modulo03_educacion,P311B$3,str,66,0.0,0.0,0.0,0
modulo03_educacion,P311B$4,str,360,0.0,0.0,0.0,0
modulo03_educacion,P311B$5,str,310,0.0,0.0,0.0,0
modulo03_educacion,P311B$6,str,105,0.0,0.0,0.0,0
modulo03_educacion,P311B$7,str,609,0.0,0.0,0.0,0
modulo03_educacion,P311B$8,str,1,0.0,0.0,0.0,0
modulo03_educacion,P311B$9,str,1,0.0,0.0,0.0,0
modulo03_educacion,P311C$1,str,11,0.0,0.0,0.0,0
modulo03_educacion,P311C$2,str,10,0.0,0.0,0.0,0
modulo03_educacion,P311C$3,str,9,0.0,0.0,0.0,0
modulo03_educacion,P311C$4,str,11,0.0,0.0,0.0,0
modulo03_educacion,P311C$5,str,1,0.0,0.0,0.0,0
modulo03_educacion,P311C$6,str,1,0.0,0.0,0.0,0
modulo03_educacion,P311C$7,str,11,0.0,0.0,0.0,0
modulo03_educacion,P311C$8,str,1,0.0,0.0,0.0,0
modulo03_educacion,P311C$9,str,1,0.0,0.0,0.0,0
modulo03_educacion,P311D$1,str,57,0.0,0.0,0.0,0
modulo03_educacion,P311D$2,str,59,0.0,0.0,0.0,0
modulo03_educacion,P311D$3,str,2,0.0,0.0,0.0,0
modulo03_educacion,P311D$4,str,196,0.0,0.0,0.0,0
modulo03_educacion,P311D$5,str,42,0.0,0.0,0.0,0
modulo03_educacion,P311D$6,str,13,0.0,0.0,0.0,0
modulo03_educacion,P311D$7,str,134,0.0,0.0,0.0,0
modulo03_educacion,P311D$8,str,2,0.0,0.0,0.0,0
modulo03_educacion,P311D$9,str,10,0.0,0.0,0.0,0
modulo03_educacion,P311D2$1,str,1,0.0,0.0,0.0,0
modulo03_educacion,P311D2$2,str,1,0.0,0.0,0.0,0
modulo03_educacion,P311D2$3,str,1,0.0,0.0,0.0,0
modulo03_educacion,P311D2$4,str,1,0.0,0.0,0.0,0
modulo03_educacion,P311D2$5,str,1,0.0,0.0,0.0,0
modulo03_educacion,P311D2$6,str,1,0.0,0.0,0.0,0
modulo03_educacion,P311D2$7,str,2,0.0,0.0,0.0,0
modulo03_educacion,P311D2$8,str,1,0.0,0.0,0.0,0
modulo03_educacion,P311D2$9,str,1,0.0,0.0,0.0,0
modulo03_educacion,P311D3$1,str,1,0.0,0.0,0.0,0
modulo03_educacion,P311D3$2,str,1,0.0,0.0,0.0,0
modulo03_educacion,P311D3$3,str,1,0.0,0.0,0.0,0
modulo03_educacion,P311D3$4,str,1,0.0,0.0,0.0,0
modulo03_educacion,P311D3$5,str,1,0.0,0.0,0.0,0
modulo03_educacion,P311D3$6,str,1,0.0,0.0,0.0,0
modulo03_educacion,P311D3$7,str,2,0.0,0.0,0.0,0
modulo03_educacion,P311D3$8,str,1,0.0,0.0,0.0,0
modulo03_educacion,P311D3$9,str,1,0.0,0.0,0.0,0
modulo03_educacion,P311D4$1,str,1,0.0,0.0,0.0,0
modulo03_educacion,P311D4$2,str,1,0.0,0.0,0.0,0
modulo03_educacion,P311D4$3,str,1,0.0,0.0,0.0,0
modulo03_educacion,P311D4$4,str,1,0.0,0.0,0.0,0
modulo03_educacion,P311D4$5,str,1,0.0,0.0,0.0,0
modulo03_educacion,P311D4$6,str,1,0.0,0.0,0.0,0
modulo03_educacion,P311D4$7,str,22,0.0,0.0,0.0,0
modulo03_educacion,P311D4$8,str,1,0.0,0.0,0.0,0
modulo03_educacion,P311D4$9,str,1,0.0,0.0,0.0,0
modulo03_educacion,P311D5$1,str,57,0.0,0.0,0.0,0
modulo03_educacion,P311D5$2,str,59,0.0,0.0,0.0,0
modulo03_educacion,P311D5$3,str,2,0.0,0.0,0.0,0
modulo03_educacion,P311D5$4,str,73,0.0,0.0,0.0,0
modulo03_educacion,P311D5$5,str,39,0.0,0.0,0.0,0
modulo03_educacion,P311D5$6,str,13,0.0,0.0,0.0,0
modulo03_educacion,P311D5$7,str,128,0.0,0.0,0.0,0
modulo03_educacion,P311D5$8,str,1,0.0,0.0,0.0,0
modulo03_educacion,P311D5$9,str,1,0.0,0.0,0.0,0
modulo03_educacion,P311D6$1,str,3,0.0,0.0,0.0,0
modulo03_educacion,P311D6$2,str,2,0.0,0.0,0.0,0
modulo03_educacion,P311D6$3,str,1,0.0,0.0,0.0,0
modulo03_educacion,P311D6$4,str,160,0.0,0.0,0.0,0
modulo03_educacion,P311D6$5,str,6,0.0,0.0,0.0,0
modulo03_educacion,P311D6$6,str,1,0.0,0.0,0.0,0
modulo03_educacion,P311D6$7,str,9,0.0,0.0,0.0,0
modulo03_educacion,P311D6$8,str,2,0.0,0.0,0.0,0
modulo03_educacion,P311D6$9,str,10,0.0,0.0,0.0,0
modulo03_educacion,P311D7$1,str,1,0.0,0.0,0.0,0
modulo03_educacion,P311D7$2,str,1,0.0,0.0,0.0,0
modulo03_educacion,P311D7$3,str,1,0.0,0.0,0.0,0
modulo03_educacion,P311D7$4,str,2,0.0,0.0,0.0,0
modulo03_educacion,P311D7$5,str,1,0.0,0.0,0.0,0
modulo03_educacion,P311D7$6,str,1,0.0,0.0,0.0,0
modulo03_educacion,P311D7$7,str,4,0.0,0.0,0.0,0
modulo03_educacion,P311D7$8,str,1,0.0,0.0,0.0,0
modulo03_educacion,P311D7$9,str,1,0.0,0.0,0.0,0
modulo03_educacion,P311E$1,str,7,0.0,0.0,0.0,0
modulo03_educacion,P311E$2,str,5,0.0,0.0,0.0,0
modulo03_educacion,P311E$3,str,7,0.0,0.0,0.0,0
modulo03_educacion,P311E$4,str,22,0.0,0.0,0.0,0
modulo03_educacion,P311E$5,str,5,0.0,0.0,0.0,0
modulo03_educacion,P311E$6,str,2,0.0,0.0,0.0,0
modulo03_educacion,P311E$7,str,102,0.0,0.0,0.0,0
modulo03_educacion,P311E$8,str,1,0.0,0.0,0.0,0
modulo03_educacion,P311E$9,str,1,0.0,0.0,0.0,0
modulo03_educacion,P311T1,str,965,0.0,0.0,0.0,0
modulo03_educacion,P311T22,str,2,0.0,0.0,0.0,0
modulo03_educacion,P311T23,str,2,0.0,0.0,0.0,0
modulo03_educacion,P311T24,str,21,0.0,0.0,0.0,0
modulo03_educacion,P311T25,str,128,0.0,0.0,0.0,0
modulo03_educacion,P311T26,str,63,0.0,0.0,0.0,0
modulo03_educacion,P311T27,str,5,0.0,0.0,0.0,0
modulo03_educacion,P311T2,str,170,0.0,0.0,0.0,0
modulo03_educacion,P3121,str,3,0.0,0.0,0.0,0
modulo03_educacion,P3121A1,str,3,0.0,0.0,0.0,0
modulo03_educacion,P3121A2,str,2,0.0,0.0,0.0,0
modulo03_educacion,P3121A3,str,2,0.0,0.0,0.0,0
modulo03_educacion,P3121A4,str,3,0.0,0.0,0.0,0
