ID,MAE_cv,MAE_test,MAE_test_media_smear,RMSE_test,R2_test_soles,R2_escala_propia,smearing_Duan,best_params,minutos
E9,607.3,606.0,734.8,1212.8,0.433,0.576,1.402,"{'regressor__modelo__n_estimators': 800, 'regressor__modelo__learning_rate': 0.01, 'regressor__modelo__max_depth': 7}",3.2
E8,613.0,612.4,739.9,1223.4,0.423,0.568,1.404,"{'regressor__modelo__max_depth': 12, 'regressor__modelo__min_samples_leaf': 5, 'regressor__modelo__n_estimators': 800}",28.5
